hidden_channels,lr,weight_decay,dropout,focal_gamma,focal_alpha,epochs,mean_auc,std_auc,mean_f1,mean_acc
256,0.0002,1e-05,0.3,1,0.5,1000,0.9915966946554711,0.003976234636136589,0.9607697198463476,0.9615423218467715
512,0.0002,1e-05,0.3,1,0.5,700,0.9915749547175665,0.0029633189658418604,0.9615423855495273,0.9623586483773836
512,0.0002,1e-05,0.5,1,0.5,400,0.9915716773399929,0.0035516591781543645,0.9588651204121676,0.9599063231850116
128,0.0002,0.0001,0.3,1,0.75,700,0.9915595510429709,0.00361290869464109,0.9605730601626364,0.961549013047842
512,0.0002,1e-05,0.3,2,0.75,700,0.9914674567331536,0.004284017581597263,0.9623186493541305,0.963174974907996
512,0.0002,0.0001,0.5,2,0.75,1000,0.9914673474872346,0.002633625475352747,0.9613499032459487,0.9623586483773836
128,0.0002,1e-05,0.3,1,0.5,400,0.9914497588942565,0.003511444088920994,0.9564903511933105,0.957447306791569
128,0.001,0.0001,0.5,1,0.5,1000,0.9914350106951755,0.004554553275268679,0.9565577598204381,0.9574406155904984
256,0.0002,1e-05,0.3,2,0.75,400,0.9913927325244766,0.004474814338503334,0.9583170820887886,0.9590732686517229
128,0.0002,1e-05,0.3,2,0.5,400,0.9913255462842185,0.004051332166650106,0.9519528451595398,0.9533589829374373
256,0.0002,1e-05,0.3,2,0.5,700,0.99128818417988,0.002778354191157647,0.9584319508594856,0.9590866510538643
128,0.0002,1e-05,0.5,1,0.5,700,0.99128818417988,0.003428993778235972,0.9620810195267084,0.963174974907996
512,0.0002,1e-05,0.3,1,0.5,400,0.9912678644389239,0.004598176469790492,0.9631522433528336,0.9639946470391436
512,0.0002,0.0001,0.5,2,0.75,700,0.9912616374215342,0.004144046786135474,0.9595795745327352,0.9599096687855472
256,0.0002,0.0001,0.5,1,0.5,700,0.9912311578101001,0.004259652370246524,0.9571615267819906,0.9582636333221813
512,0.0002,1e-05,0.5,2,0.75,700,0.9912213256773793,0.004259304177005292,0.9568890698201843,0.9582669789227166
512,0.0002,1e-05,0.5,1,0.5,1000,0.9912147709222321,0.002988464910994446,0.9641656103349308,0.9648210103713616
256,0.0002,1e-05,0.5,1,0.75,400,0.991177736555651,0.0034594476476437724,0.9599278945964873,0.9607193041150885
512,0.0002,1e-05,0.3,2,0.5,700,0.9911757701291067,0.0031726623728101427,0.9569261354169256,0.9574606891937101
512,0.0002,0.0001,0.5,1,0.75,400,0.9911153571358341,0.0029863136742701198,0.9560441821902593,0.9566309802609567
128,0.001,0.0001,0.3,1,0.5,700,0.9911080376592531,0.004118411616767463,0.956170383634241,0.9566276346604216
512,0.0002,1e-05,0.5,1,0.5,700,0.9910481708955761,0.004248188531394839,0.9588769714110326,0.9590899966543995
512,0.0002,0.0001,0.5,2,0.5,700,0.9910481708955761,0.004057122262398228,0.9558714362397283,0.9566276346604214
256,0.0002,1e-05,0.3,2,0.75,700,0.9910268679413481,0.004041896551917745,0.9529422405239399,0.9541686182669789
512,0.0002,0.0001,0.3,2,0.5,400,0.9910174727923039,0.004201022318520114,0.9625417856859579,0.963174974907996
512,0.0002,1e-05,0.3,2,0.75,400,0.9910105902993994,0.0035730012360566717,0.9624661980216459,0.9631716293074607
128,0.0002,0.0001,0.3,2,0.75,400,0.9909916907553917,0.002760868919887442,0.9580073474623123,0.959083305453329
128,0.0002,0.0001,0.3,1,0.75,400,0.9909394712060531,0.0032032078193028465,0.9571424843104669,0.9582703245232519
128,0.0002,0.0001,0.5,1,0.75,400,0.9909301853029279,0.003454255449297111,0.9536333625903908,0.954994981599197
512,0.0002,0.0001,0.3,2,0.75,700,0.9908864869352805,0.0042581881248868825,0.9619880044371201,0.9623619939779189
256,0.0002,1e-05,0.3,1,0.5,400,0.9908744698841774,0.0030687861333444696,0.9557098110348372,0.9566343258614921
128,0.0002,0.0001,0.5,2,0.5,400,0.9908729404413098,0.004084605462575263,0.951453402550943,0.9533522917363667
512,0.0002,0.0001,0.5,1,0.75,1000,0.9908727219494716,0.0035665329947548266,0.9588986142226062,0.9599029775844764
128,0.0002,0.0001,0.5,2,0.75,700,0.9908258554501697,0.0028065922904333272,0.9585442938971525,0.959909668785547
512,0.0002,1e-05,0.5,2,0.75,400,0.990817989743993,0.0034679105921214736,0.9606995375311149,0.9615255938440951
512,0.0002,1e-05,0.3,1,0.75,400,0.9907471983884044,0.004180688251980489,0.9605029937298617,0.9607326865172299
128,0.0002,0.0001,0.3,1,0.5,400,0.9907471983884042,0.004469087715414365,0.9620058192398618,0.9631783205085312
128,0.0002,1e-05,0.5,2,0.5,700,0.9907414083546909,0.002925456833070017,0.9561510160398854,0.957447306791569
512,0.0002,1e-05,0.5,2,0.5,1000,0.9907392234363085,0.004402885029240926,0.9609311573418813,0.9615423218467715
256,0.0002,1e-05,0.3,2,0.5,400,0.9906241874834766,0.004558777013440082,0.9600030961631519,0.9607326865172299
128,0.001,1e-05,0.5,1,0.75,700,0.9905445472084391,0.004765053938930918,0.956631130724482,0.9574372699899631
256,0.001,1e-05,0.3,1,0.75,700,0.9905139583510858,0.0030678108762056955,0.9603206540102075,0.9607226497156238
512,0.0002,1e-05,0.5,2,0.5,700,0.990467201097703,0.004991735123004936,0.9574365739584005,0.9582636333221813
256,0.0002,0.0001,0.5,2,0.5,700,0.9904096284983274,0.0022218972766450402,0.9572282090730185,0.9582703245232519
128,0.0002,1e-05,0.3,2,0.5,700,0.990402746005423,0.005035491337203893,0.9594676208567187,0.9607293409166946
512,0.0002,1e-05,0.5,1,0.75,400,0.9903814430511948,0.004773010466737254,0.9591518960682034,0.9599063231850117
128,0.0002,0.0001,0.5,2,0.75,400,0.9903556610142829,0.0027071685069866864,0.9496724643141569,0.9517229842756775
256,0.0002,0.0001,0.5,2,0.75,400,0.9903534760959003,0.004278258696329824,0.9506053107222675,0.9517229842756775
256,0.0002,1e-05,0.5,1,0.5,400,0.9903346857978119,0.004626794712229891,0.9598502549042147,0.9607293409166946
128,0.0002,1e-05,0.5,1,0.75,400,0.9903138198272604,0.003705676543672066,0.9527547889970982,0.9541719638675141
256,0.0002,1e-05,0.5,2,0.75,400,0.9903110886792824,0.0031796129088144174,0.9527109553443573,0.9541719638675141
512,0.0002,1e-05,0.3,2,0.5,400,0.9902889117577012,0.0027582183403837904,0.9534756371684476,0.9541886918701907
128,0.001,0.0001,0.5,1,0.75,1000,0.9902539530635833,0.004608725138629907,0.9524507439828991,0.9533623285379725
128,0.001,1e-05,0.3,1,0.75,1000,0.9902156077459727,0.0037191744402618318,0.9577753203705495,0.9582736701237872
256,0.0002,1e-05,0.3,1,0.75,400,0.9902059941050902,0.003799127362687905,0.9572510571693609,0.9582736701237874
256,0.0002,0.0001,0.3,2,0.75,400,0.9900685627388389,0.005194641597716896,0.9569488252333441,0.958260287721646
128,0.001,1e-05,0.3,1,0.75,400,0.9900681257551623,0.004306269874081868,0.9560454959500779,0.9566209434593509
128,0.001,0.0001,0.3,1,0.5,1000,0.9900679072633242,0.0041780597238849,0.9558518696326631,0.9566309802609567
128,0.001,0.0001,0.3,2,0.5,700,0.9900286879783605,0.004538331590737308,0.9568419190315953,0.9574439611910339
128,0.001,1e-05,0.3,1,0.5,700,0.9900154692221472,0.0039292346250951226,0.956109813156736,0.9566309802609568
256,0.0002,1e-05,0.5,2,0.5,400,0.9899942755138383,0.002892879885602444,0.9531998839513613,0.9550050184008029
256,0.0002,1e-05,0.5,2,0.75,700,0.9899635774105657,0.004892317343131277,0.9579299617071548,0.9590866510538643
128,0.001,1e-05,0.3,2,0.75,700,0.9899407450134701,0.0015197672681915516,0.9551505274112169,0.9558146537303447
512,0.0002,0.0001,0.5,2,0.75,400,0.9899359381930287,0.0036531073433465713,0.9591703645221017,0.9598996319839411
128,0.001,0.0001,0.3,1,0.75,1000,0.9899060048111903,0.004046249809598419,0.9548375403450337,0.9558079625292739
