hidden_channels,lr,weight_decay,dropout,focal_gamma,focal_alpha,epochs,mean_auc,std_auc,mean_f1,mean_acc,mean_thr
512,0.0002,0.0001,0.5,2,0.5,400,0.9991566358024692,0.0016106772096758206,0.9974999023399352,0.9975077639751554,0.5308693766593933
512,0.0002,1e-05,0.5,1,0.5,400,0.9991277006172841,0.0012750689307927758,0.9975151444997492,0.9975077639751554,1.2993724703788758
256,0.0002,0.0001,0.3,2,0.75,400,0.999127314814815,0.0013316041384805908,0.9975151444997492,0.9975077639751554,0.6973375841975212
256,0.001,1e-05,0.3,1,0.75,1000,0.9991265432098764,0.0014580058747910472,0.9975151444997492,0.9975077639751554,1.2225223422050475
512,0.0002,0.0001,0.3,1,0.5,1000,0.999099537037037,0.0011035720310470145,0.9975151444997492,0.9975077639751554,1.031352835893631
512,0.0002,1e-05,0.5,1,0.5,1000,0.9990979938271604,0.00115962852721897,0.9975151444997492,0.9975077639751554,2.536927676200867
128,0.001,1e-05,0.5,2,0.75,400,0.9990979938271604,0.00115962852721897,0.9975151444997492,0.9975077639751554,3.2267739456146955
256,0.0002,1e-05,0.3,2,0.75,400,0.9990667438271604,0.001211631311636355,0.9975151444997492,0.9975077639751554,1.3995452225208282
256,0.001,1e-05,0.5,2,0.5,400,0.9990316358024691,0.001860528157375344,0.9974999023399352,0.9975077639751554,0.15665652155876159
512,0.001,1e-05,0.3,1,0.75,1000,0.99903125,0.00193749999999997,0.9987421383647799,0.99875,0.2885818272829056
256,0.001,0.0001,0.5,2,0.5,1000,0.999,0.0020000000000000018,0.9987421383647799,0.99875,-0.9675810635089874
256,0.001,1e-05,0.3,2,0.5,1000,0.9989691358024692,0.0019854677030098503,0.9974999023399352,0.9975077639751554,-1.1997562766075134
256,0.001,1e-05,0.3,1,0.5,400,0.9989687500000001,0.0020624999999999893,0.9987421383647799,0.99875,0.7916440010070801
512,0.0002,0.0001,0.5,2,0.5,700,0.9989374999999999,0.0021250000000000214,0.9987421383647799,0.99875,0.4328440189361572
256,0.0002,1e-05,0.3,2,0.5,1000,0.998914737654321,0.0013973867687486403,0.9975151444997492,0.9975077639751554,1.7483686447143554
