hidden_channels,lr,weight_decay,dropout,focal_gamma,focal_alpha,epochs,mean_val_AUC,std_val_AUC
128,0.001,1e-05,0.3,1.0,0.75,1000,0.8828283166109253,0.015762548705189644
512,0.0002,0.0001,0.5,2.0,0.5,400,0.8826967670011149,0.018668869958244284
256,0.0002,1e-05,0.5,1.0,0.75,700,0.8825964325529544,0.023709634370179866
256,0.001,0.0001,0.3,2.0,0.5,700,0.8825841694537347,0.020455968426615657
512,0.0002,1e-05,0.5,2.0,0.75,700,0.882536231884058,0.022498165873618397
512,0.0002,0.0001,0.3,1.0,0.5,1000,0.8825306577480492,0.031517190484688574
128,0.001,1e-05,0.5,1.0,0.75,400,0.8825172798216275,0.01868315807872768
128,0.0002,1e-05,0.3,1.0,0.5,400,0.882469342251951,0.020707076660023957
512,0.0002,0.0001,0.5,1.0,0.75,1000,0.8824347826086957,0.018778966692800995
512,0.0002,0.0001,0.3,2.0,0.75,700,0.8824080267558528,0.020710943990637765
256,0.001,1e-05,0.3,1.0,0.5,700,0.8823389074693424,0.027574337482978096
128,0.001,1e-05,0.5,2.0,0.75,1000,0.8822586399108138,0.027039854990591704
512,0.0002,1e-05,0.3,2.0,0.5,700,0.882164994425864,0.012396931417963235
256,0.0002,1e-05,0.3,2.0,0.5,700,0.8821092530657747,0.04481449586027214
512,0.0002,0.0001,0.5,2.0,0.75,700,0.8821059085841696,0.01667052389529038
512,0.001,0.0001,0.3,2.0,0.5,1000,0.8820546265328874,0.022638769827392838
512,0.001,0.0001,0.3,2.0,0.75,1000,0.8820434782608697,0.033897898236288235
512,0.001,0.0001,0.3,1.0,0.5,700,0.8820334448160535,0.023485614189689273
256,0.0002,1e-05,0.5,2.0,0.75,400,0.882,0.019075301778778694
128,0.001,0.0001,0.5,2.0,0.75,1000,0.8819275362318841,0.02736518951538714
512,0.001,1e-05,0.3,2.0,0.5,1000,0.8819186176142697,0.027846875095824362
512,0.001,1e-05,0.3,2.0,0.75,700,0.8817034559643255,0.04318356198401603
512,0.001,0.0001,0.5,2.0,0.75,400,0.8816421404682275,0.027635012905695935
256,0.0002,1e-05,0.5,1.0,0.5,400,0.8814905239687848,0.014429002913383018
256,0.0002,1e-05,0.3,1.0,0.5,700,0.881483835005574,0.01266629577170805
128,0.001,0.0001,0.3,1.0,0.5,1000,0.8814671125975476,0.02483379886210173
128,0.0002,0.0001,0.3,1.0,0.75,1000,0.8814347826086957,0.01830365304042124
128,0.001,0.0001,0.5,2.0,0.5,400,0.8813745819397993,0.020018119106461663
128,0.001,0.0001,0.3,2.0,0.75,400,0.8813143812709029,0.025562010093026204
256,0.001,1e-05,0.3,2.0,0.5,1000,0.8812742474916387,0.03426654647176798
256,0.001,1e-05,0.3,1.0,0.75,700,0.8812642140468228,0.020446665595778072
256,0.0002,1e-05,0.3,1.0,0.75,1000,0.8811125975473804,0.016547131058707025
128,0.0002,1e-05,0.3,2.0,0.75,700,0.8810479375696767,0.010574468336212233
128,0.0002,1e-05,0.3,1.0,0.5,700,0.8810222965440356,0.023704835746979444
512,0.001,0.0001,0.5,2.0,0.5,1000,0.8806700111482721,0.025461169510075776
128,0.001,1e-05,0.3,2.0,0.5,1000,0.8806510590858417,0.03762098580773056
128,0.001,0.0001,0.3,2.0,0.5,700,0.880613154960981,0.026380543833820755
256,0.001,1e-05,0.3,2.0,0.75,1000,0.8805607580824972,0.025030988426626825
512,0.001,0.0001,0.5,2.0,0.5,400,0.8802709030100335,0.028271102046367253
512,0.001,1e-05,0.5,1.0,0.75,400,0.8802586399108139,0.03995135590851984
512,0.001,1e-05,0.3,1.0,0.75,1000,0.8801192865105909,0.024620772761067982
512,0.0002,0.0001,0.5,1.0,0.75,700,0.8800222965440356,0.02115995743239238
128,0.0002,1e-05,0.5,2.0,0.75,1000,0.8799955406911929,0.04321732398214504
256,0.001,1e-05,0.3,2.0,0.5,400,0.8799632107023412,0.02591313796309926
512,0.001,1e-05,0.3,1.0,0.75,400,0.8798517279821627,0.022436551947632697
512,0.0002,0.0001,0.3,1.0,0.75,1000,0.8798182831661092,0.01557200420487695
512,0.0002,0.0001,0.3,2.0,0.75,1000,0.8797781493868451,0.007491197829035123
512,0.001,0.0001,0.5,1.0,0.5,1000,0.8797246376811595,0.009408919407522368
256,0.001,1e-05,0.3,1.0,0.5,400,0.8797045707915274,0.01910643340050347
512,0.0002,1e-05,0.5,1.0,0.5,1000,0.8796544035674471,0.018748625482848783
512,0.001,1e-05,0.3,1.0,0.5,400,0.8791973244147158,0.023858226521229788
512,0.001,1e-05,0.5,2.0,0.75,700,0.8787235228539577,0.0161832334731281
128,0.0002,0.0001,0.5,1.0,0.75,400,0.8783913043478261,0.033799318822118354
128,0.0002,0.0001,0.3,2.0,0.75,400,0.8783266443701226,0.017402479187134338
512,0.0002,1e-05,0.3,2.0,0.75,1000,0.8782196209587514,0.02958899913017416
256,0.0002,1e-05,0.5,2.0,0.75,700,0.8781404682274246,0.031999261472830824
128,0.0002,0.0001,0.5,2.0,0.5,700,0.8780345596432554,0.01731423106898181
128,0.0002,0.0001,0.3,1.0,0.75,400,0.8779420289855071,0.02715967677852437
512,0.0002,0.0001,0.5,1.0,0.5,400,0.8778049052396879,0.022073945809587027
512,0.001,0.0001,0.5,2.0,0.5,700,0.8777491638795988,0.01585155717801736
256,0.0002,0.0001,0.5,1.0,0.75,400,0.8777290969899667,0.02998491882388884
128,0.001,1e-05,0.5,2.0,0.75,400,0.8775072463768117,0.02402018170424495
512,0.001,1e-05,0.3,1.0,0.75,700,0.8774860646599777,0.01215039831067746
256,0.001,0.0001,0.3,2.0,0.5,1000,0.8771872909698997,0.013242295363561394
512,0.0002,1e-05,0.5,2.0,0.75,1000,0.8771036789297659,0.024000767234104964
128,0.0002,0.0001,0.5,2.0,0.5,1000,0.8770758082497213,0.025681037464602294
512,0.001,0.0001,0.5,1.0,0.5,400,0.8767870680044592,0.012703889903035458
256,0.0002,0.0001,0.3,1.0,0.5,400,0.8767513935340023,0.025097321510567993
512,0.0002,1e-05,0.5,1.0,0.75,400,0.8766365663322185,0.02722332325192858
256,0.0002,1e-05,0.3,1.0,0.5,400,0.8765373467112598,0.02355634425310893
128,0.0002,1e-05,0.5,2.0,0.5,400,0.8765094760312152,0.03868829772663885
512,0.0002,0.0001,0.3,2.0,0.5,700,0.8761705685618729,0.022092699172263162
512,0.001,0.0001,0.3,1.0,0.5,400,0.8761114827201784,0.024168485594813865
512,0.0002,0.0001,0.5,2.0,0.5,1000,0.8759476031215161,0.026771621143222343
256,0.001,0.0001,0.3,1.0,0.75,400,0.8759409141583057,0.020780139328094326
256,0.001,1e-05,0.5,2.0,0.5,400,0.875931995540691,0.031771528547761135
256,0.001,1e-05,0.3,2.0,0.75,400,0.8757725752508362,0.025505541335845323
512,0.001,1e-05,0.5,1.0,0.5,1000,0.875329988851728,0.02279272990329176
128,0.0002,1e-05,0.3,2.0,0.75,400,0.874808249721293,0.03322643560349185
256,0.0002,0.0001,0.5,2.0,0.75,1000,0.8746532887402452,0.024597959878930615
512,0.001,0.0001,0.3,1.0,0.75,400,0.8744760312151618,0.03700643128761245
256,0.0002,0.0001,0.3,2.0,0.5,700,0.8740891861761428,0.022466421303325174
512,0.001,1e-05,0.3,2.0,0.5,700,0.8739420289855072,0.03218365807774099
512,0.0002,0.0001,0.3,1.0,0.75,400,0.8739119286510592,0.01851438090975256
512,0.001,1e-05,0.3,1.0,0.5,1000,0.8737547380156074,0.03706650227884698
512,0.0002,1e-05,0.3,2.0,0.75,400,0.8736488294314382,0.02275518411143427
256,0.001,0.0001,0.3,2.0,0.5,400,0.8735574136008919,0.01791704913710533
128,0.001,0.0001,0.5,2.0,0.75,700,0.8735117056856188,0.029133612912050723
256,0.001,1e-05,0.5,1.0,0.5,700,0.8731137123745819,0.0224693226435949
512,0.001,0.0001,0.3,2.0,0.75,400,0.8730847268673354,0.029934716257274053
256,0.0002,1e-05,0.3,2.0,0.5,1000,0.8729821627647715,0.04190187064717336
512,0.0002,0.0001,0.3,2.0,0.5,400,0.8728996655518395,0.019832217683617866
512,0.001,1e-05,0.3,2.0,0.75,400,0.8725897435897435,0.023064220675885247
256,0.0002,0.0001,0.5,2.0,0.5,400,0.8723188405797101,0.018572982035582313
128,0.0002,0.0001,0.3,1.0,0.75,700,0.8720234113712374,0.01570258788518867
256,0.001,0.0001,0.5,2.0,0.5,400,0.871978818283166,0.012202071721395244
256,0.0002,0.0001,0.3,2.0,0.75,1000,0.8718729096989968,0.017423099312696068
256,0.0002,1e-05,0.3,2.0,0.75,400,0.8716934225195094,0.019027155447604156
512,0.0002,1e-05,0.5,1.0,0.5,700,0.8716811594202898,0.021262102234565292
256,0.001,0.0001,0.3,1.0,0.75,700,0.8713768115942029,0.030363035068187202
512,0.001,1e-05,0.5,1.0,0.75,700,0.8711516164994425,0.033368858300703005
256,0.001,1e-05,0.3,1.0,0.75,400,0.870176142697882,0.03445144814436263
256,0.0002,0.0001,0.5,2.0,0.75,700,0.8701415830546265,0.02963631261820101
512,0.001,0.0001,0.5,1.0,0.75,700,0.8698717948717949,0.03425422131135311
512,0.001,0.0001,0.3,1.0,0.75,1000,0.8692341137123745,0.029705975557737043
128,0.0002,0.0001,0.5,1.0,0.75,700,0.8680267558528427,0.03183931908850576
256,0.0002,0.0001,0.3,1.0,0.75,700,0.8678717948717949,0.022132806366026436
512,0.0002,0.0001,0.5,2.0,0.75,1000,0.8675273132664436,0.03250638354897898
256,0.001,0.0001,0.5,2.0,0.5,1000,0.8671817168338908,0.03939891768563397
512,0.001,0.0001,0.3,2.0,0.5,700,0.867133779264214,0.024279106595135977
256,0.0002,1e-05,0.3,2.0,0.5,400,0.8670635451505018,0.026308763272106697
128,0.0002,1e-05,0.5,1.0,0.5,400,0.8667881828316609,0.043256770596275654
512,0.001,1e-05,0.5,2.0,0.75,400,0.8666532887402454,0.037098179451626336
256,0.0002,1e-05,0.5,2.0,0.5,1000,0.8665975473801559,0.022390152607623916
256,0.0002,0.0001,0.3,2.0,0.5,400,0.8647134894091415,0.029073617602915387
512,0.0002,0.0001,0.5,2.0,0.75,400,0.8646399108138239,0.030944426463985125
128,0.0002,1e-05,0.3,2.0,0.5,400,0.863366778149387,0.013371399373920803
512,0.0002,0.0001,0.3,2.0,0.5,1000,0.8626822742474916,0.036596028673353466
128,0.001,1e-05,0.3,1.0,0.5,400,0.8625039018952062,0.03601525176332792
256,0.0002,0.0001,0.3,2.0,0.5,1000,0.8624470457079152,0.0201082417972672
128,0.0002,1e-05,0.5,1.0,0.5,1000,0.8618862876254181,0.030812247086678568
128,0.0002,1e-05,0.3,2.0,0.5,1000,0.861696767001115,0.03102655746976754
256,0.0002,1e-05,0.3,2.0,0.75,1000,0.8553054626532888,0.010611459398204267
128,0.0002,1e-05,0.5,1.0,0.75,400,0.8505150501672241,0.030060803680009456
128,0.0002,1e-05,0.3,1.0,0.75,1000,0.8452608695652175,0.05449987619193219
