Seed,Epoch,Loss,Train_AUC,Train_F1,Train_Acc,Val_AUC,Val_F1,Val_Acc,Test_AUC,Test_F1,Test_Acc
64,20,0.189469,0.9085,0.8627,0.8564,0.6706,0.5882,0.5714,0.8272,0.789,0.781
64,25,0.194453,0.9371,0.867,0.8615,0.6722,0.5882,0.5714,0.8272,0.789,0.781
64,30,0.159607,0.9677,0.8768,0.8718,0.6856,0.5882,0.5714,0.8326,0.789,0.781
64,35,0.148475,0.9877,0.93,0.9282,0.704,0.6275,0.6122,0.8384,0.7928,0.781
64,40,0.122461,0.9988,0.9804,0.9795,0.7174,0.64,0.6327,0.837,0.789,0.781
64,45,0.112725,0.9998,0.995,0.9949,0.7308,0.6667,0.6531,0.8384,0.7636,0.7524
64,50,0.084737,1.0,0.995,0.9949,0.7441,0.68,0.6735,0.8381,0.7523,0.7429
64,55,0.07533,1.0,1.0,1.0,0.7525,0.68,0.6735,0.8384,0.7523,0.7429
64,60,0.052825,1.0,1.0,1.0,0.7692,0.6531,0.6531,0.841,0.7407,0.7333
64,65,0.044817,1.0,1.0,1.0,0.7709,0.6667,0.6735,0.8435,0.7358,0.7333
64,70,0.035048,1.0,1.0,1.0,0.7709,0.6667,0.6735,0.8431,0.7358,0.7333
64,75,0.032296,1.0,1.0,1.0,0.7642,0.6531,0.6531,0.842,0.7238,0.7238
64,80,0.016767,1.0,1.0,1.0,0.7625,0.6667,0.6531,0.842,0.717,0.7143
64,85,0.011541,1.0,1.0,1.0,0.7592,0.6667,0.6531,0.8446,0.717,0.7143
64,90,0.012175,1.0,1.0,1.0,0.7692,0.64,0.6327,0.8479,0.7238,0.7238
64,95,0.004796,1.0,1.0,1.0,0.7659,0.6122,0.6122,0.8431,0.75,0.7524
64,100,0.005441,1.0,1.0,1.0,0.7676,0.6667,0.6531,0.8391,0.7547,0.7524
64,105,0.005596,1.0,1.0,1.0,0.7676,0.68,0.6735,0.8282,0.7706,0.7619
64,110,0.003029,1.0,1.0,1.0,0.7676,0.68,0.6735,0.8319,0.7477,0.7429
64,115,0.002107,1.0,1.0,1.0,0.7592,0.6667,0.6531,0.8475,0.7706,0.7619
64,120,0.00127,1.0,1.0,1.0,0.7575,0.64,0.6327,0.8511,0.7593,0.7524
64,125,0.001443,1.0,1.0,1.0,0.7575,0.64,0.6327,0.8497,0.7706,0.7619
64,130,0.000981,1.0,1.0,1.0,0.7659,0.6923,0.6735,0.8431,0.7706,0.7619
64,135,0.000833,1.0,1.0,1.0,0.7625,0.6667,0.6531,0.842,0.7593,0.7524
64,140,0.00109,1.0,1.0,1.0,0.7642,0.6531,0.6531,0.8417,0.7664,0.7619
64,145,0.000359,1.0,1.0,1.0,0.7592,0.6667,0.6531,0.8453,0.7547,0.7524
64,150,0.000541,1.0,1.0,1.0,0.7575,0.6667,0.6531,0.8464,0.7664,0.7619
64,155,0.000705,1.0,1.0,1.0,0.7659,0.64,0.6327,0.8497,0.7778,0.7714
64,160,0.000747,1.0,1.0,1.0,0.7709,0.64,0.6327,0.8486,0.785,0.781
64,165,0.000337,1.0,1.0,1.0,0.7843,0.64,0.6327,0.8468,0.7706,0.7619
64,170,0.000175,1.0,1.0,1.0,0.7809,0.6667,0.6531,0.8468,0.7818,0.7714
64,175,0.00028,1.0,1.0,1.0,0.7776,0.6667,0.6531,0.8468,0.7778,0.7714
64,180,0.000182,1.0,1.0,1.0,0.7776,0.6667,0.6531,0.8511,0.7778,0.7714
64,185,9.1e-05,1.0,1.0,1.0,0.7776,0.64,0.6327,0.8537,0.7748,0.7619
64,190,0.000183,1.0,1.0,1.0,0.7742,0.6667,0.6531,0.854,0.785,0.781
64,195,8e-05,1.0,1.0,1.0,0.7726,0.6667,0.6531,0.8548,0.785,0.781
64,200,6.8e-05,1.0,1.0,1.0,0.7659,0.6667,0.6531,0.8588,0.7818,0.7714
64,205,7.9e-05,1.0,1.0,1.0,0.7625,0.6667,0.6531,0.8562,0.8,0.7905
64,210,5.7e-05,1.0,1.0,1.0,0.7642,0.6667,0.6531,0.8533,0.7928,0.781
64,215,3.8e-05,1.0,1.0,1.0,0.7692,0.6667,0.6531,0.854,0.7818,0.7714
64,220,2.2e-05,1.0,1.0,1.0,0.7659,0.6667,0.6531,0.8588,0.7928,0.781
64,225,7.1e-05,1.0,1.0,1.0,0.7642,0.6667,0.6531,0.8558,0.7928,0.781
64,230,3.9e-05,1.0,1.0,1.0,0.7659,0.6538,0.6327,0.8573,0.7928,0.781
64,235,1e-05,1.0,1.0,1.0,0.7776,0.6792,0.6531,0.8544,0.7818,0.7714
64,240,0.00016,1.0,1.0,1.0,0.7826,0.6923,0.6735,0.8551,0.8037,0.8
64,245,1.7e-05,1.0,1.0,1.0,0.7843,0.6923,0.6735,0.858,0.7778,0.7714
64,250,1.5e-05,1.0,1.0,1.0,0.786,0.6923,0.6735,0.8602,0.7778,0.7714
64,255,2e-05,1.0,1.0,1.0,0.7843,0.6923,0.6735,0.8602,0.785,0.781
64,260,2.9e-05,1.0,1.0,1.0,0.786,0.6667,0.6531,0.8479,0.785,0.781
64,265,1.1e-05,1.0,1.0,1.0,0.786,0.6667,0.6531,0.8479,0.781,0.781
64,270,1.6e-05,1.0,1.0,1.0,0.7826,0.6667,0.6531,0.8522,0.7619,0.7619
64,275,7e-06,1.0,1.0,1.0,0.7809,0.6667,0.6531,0.8562,0.789,0.781
64,280,6e-06,1.0,1.0,1.0,0.7759,0.6792,0.6531,0.8577,0.789,0.781
64,285,4e-06,1.0,1.0,1.0,0.7709,0.6667,0.6531,0.8573,0.7778,0.7714
64,290,5e-06,1.0,1.0,1.0,0.7709,0.6667,0.6531,0.8577,0.7778,0.7714
64,295,2e-06,1.0,1.0,1.0,0.7742,0.6792,0.6531,0.8544,0.7778,0.7714
64,300,2e-06,1.0,1.0,1.0,0.7776,0.6792,0.6531,0.8522,0.7818,0.7714
64,305,2e-06,1.0,1.0,1.0,0.7776,0.6792,0.6531,0.8504,0.7748,0.7619
64,310,4e-06,1.0,1.0,1.0,0.7742,0.7037,0.6735,0.8504,0.7636,0.7524
64,315,3e-06,1.0,1.0,1.0,0.7776,0.6923,0.6735,0.8562,0.7636,0.7524
64,320,5.1e-05,1.0,1.0,1.0,0.7809,0.6923,0.6735,0.8562,0.7593,0.7524
64,325,5e-06,1.0,1.0,1.0,0.7826,0.6923,0.6735,0.8537,0.785,0.781
64,330,1e-06,1.0,1.0,1.0,0.7809,0.6923,0.6735,0.8526,0.785,0.781
64,335,1e-06,1.0,1.0,1.0,0.7843,0.6667,0.6531,0.8486,0.7925,0.7905
64,340,2e-06,1.0,1.0,1.0,0.7793,0.6667,0.6531,0.8471,0.781,0.781
64,345,0.0,1.0,1.0,1.0,0.7793,0.6667,0.6531,0.8453,0.781,0.781
64,350,1e-06,1.0,1.0,1.0,0.7776,0.6667,0.6531,0.8442,0.781,0.781
64,355,0.0,1.0,1.0,1.0,0.7809,0.6667,0.6531,0.8464,0.781,0.781
64,360,1e-06,1.0,1.0,1.0,0.7843,0.6667,0.6531,0.8486,0.7925,0.7905
64,365,0.0,1.0,1.0,1.0,0.7793,0.6667,0.6531,0.8497,0.7778,0.7714
64,370,1e-06,1.0,1.0,1.0,0.7776,0.6923,0.6735,0.8457,0.7778,0.7714
64,375,1e-06,1.0,1.0,1.0,0.7793,0.6923,0.6735,0.8471,0.7664,0.7619
64,380,0.0,1.0,1.0,1.0,0.7809,0.6923,0.6735,0.8464,0.7778,0.7714
64,385,0.0,1.0,1.0,1.0,0.7843,0.6923,0.6735,0.8486,0.785,0.781
64,390,1e-06,1.0,1.0,1.0,0.7826,0.6923,0.6735,0.8468,0.785,0.781
64,395,1e-06,1.0,1.0,1.0,0.7843,0.6923,0.6735,0.8446,0.785,0.781
64,400,0.0,1.0,1.0,1.0,0.786,0.6923,0.6735,0.8471,0.7736,0.7714
64,405,0.0,1.0,1.0,1.0,0.7793,0.6923,0.6735,0.8439,0.781,0.781
64,410,1e-06,1.0,1.0,1.0,0.7793,0.6923,0.6735,0.8479,0.781,0.781
64,415,1e-06,1.0,1.0,1.0,0.7893,0.6923,0.6735,0.8493,0.7664,0.7619
64,420,0.0,1.0,1.0,1.0,0.7926,0.717,0.6939,0.8479,0.7664,0.7619
64,425,0.0,1.0,1.0,1.0,0.801,0.717,0.6939,0.8471,0.7664,0.7619
64,430,0.0,1.0,1.0,1.0,0.801,0.717,0.6939,0.846,0.7736,0.7714
64,435,1e-06,1.0,1.0,1.0,0.7993,0.717,0.6939,0.846,0.7736,0.7714
64,440,0.0,1.0,1.0,1.0,0.7993,0.717,0.6939,0.8453,0.7736,0.7714
64,445,2e-06,1.0,1.0,1.0,0.7977,0.7407,0.7143,0.8439,0.785,0.781
64,450,0.0,1.0,1.0,1.0,0.796,0.7407,0.7143,0.8442,0.785,0.781
64,455,0.0,1.0,1.0,1.0,0.7926,0.7407,0.7143,0.8431,0.785,0.781
