hidden_channels,lr,weight_decay,dropout,focal_gamma,focal_alpha,epochs,mean_auc,std_auc,mean_f1,mean_acc
64,0.0002,0.001,0.4,1.0,0.5,600,0.6740998217468805,0.06438456284390401,0.7671355697442653,0.6330687830687831
64,0.001,0.001,0.4,1.0,0.5,400,0.6739156268568033,0.06775170517808446,0.7689619305179946,0.6402116402116402
256,0.0002,0.001,0.6,0.5,0.75,600,0.673511586452763,0.12577035854742882,0.7372250978876511,0.6550264550264551
128,0.0002,0.001,0.4,0.5,0.5,200,0.6734521687462864,0.11261350864809927,0.7680458722563985,0.6402116402116402
256,0.0002,0.001,0.4,0.5,0.5,400,0.6721212121212121,0.09903199172966787,0.7327910123704908,0.6402116402116402
256,0.0002,0.001,0.4,0.5,0.75,600,0.6720499108734403,0.06943478639376782,0.7775507101594058,0.6616402116402116
128,0.001,0.0001,0.4,1.0,0.75,400,0.6720439691027926,0.057590153379228355,0.7465433637569859,0.6473544973544973
64,0.001,0.0001,0.6,0.5,0.75,200,0.671693404634581,0.10787447578720662,0.7784799115170037,0.6616402116402117
64,0.001,0.001,0.6,0.5,0.75,600,0.6716280451574569,0.08222986827888507,0.7830436183352407,0.6624338624338624
128,0.001,0.001,0.4,1.0,0.75,200,0.671182412358883,0.040589626554441115,0.772553625236552,0.6767195767195767
256,0.001,0.0001,0.6,1.0,0.5,600,0.6710695187165776,0.030204390154281623,0.6835435362600049,0.6116402116402118
256,0.001,0.001,0.4,0.5,0.75,400,0.6709150326797385,0.07747284243006697,0.6811855842815595,0.6330687830687831
64,0.0002,0.001,0.4,0.5,0.5,600,0.6707843137254901,0.07970439091668388,0.7616198488291511,0.6552910052910053
256,0.001,0.001,0.6,0.5,0.5,200,0.6703683897801545,0.12466084268691338,0.7859878285965243,0.6616402116402116
256,0.0002,0.001,0.4,0.5,0.5,600,0.670172311348782,0.04494785140919248,0.7450786002615271,0.6616402116402117
64,0.0002,0.001,0.4,0.5,0.5,400,0.669863339275104,0.10574286218353,0.7610038770244161,0.6330687830687831
64,0.001,0.0001,0.6,1.0,0.5,400,0.6697682709447415,0.1340914514318889,0.7779345472874291,0.6624338624338625
64,0.001,0.001,0.4,0.5,0.5,400,0.6690790255496137,0.09782734159380126,0.752398006215363,0.6261904761904761
